"rating","text","ts","bot_percentage","profileimage"
"","","","0","http://pbs.twimg.com/profile_images/570440108424171520/QuGYd7jH_400x400.png"
"0.5","Top stories now on https://t.co/Fbzw6mR9Q5 \n\n#NDTVTopStories https://t.co/uChmbnWjRG","1522990862.0","",""
"0.0","#Apple said to be developing screens that let you control your phone without tapping or swiping… https://t.co/E0oYIS3sfP","1522990800.0","",""
"0.0","South Korean court jails former President Park Geun-Hye for 24 years over bribery https://t.co/0pIyjMLCiI https://t.co/EV9rE0Dkna","1522990749.0","",""
"0.0","Army helicopter makes an emergency landing in Tamil Nadu's Vellore, reports news agency ANI https://t.co/S9Cbwl23hW","1522990572.0","",""
"0.0","RT @CricketNDTV: .@mipaltan vs @ChennaiIPL: @IPL 2018 starts with clash of titans #IPL #IPL2018\n\nhttps://t.co/8qXI49fc7p","1522990528.0","",""
"0.0","Facebook apologises after Myanmar groups blast Zuckerberg https://t.co/WWkoSdlJGw https://t.co/t1DoSEZYFB","1522990358.0","",""
"0.4","RT @Sports_NDTV: 2018 Commonwealth Games: Indo-Pak rivalry set to light up hockey competition\n\n#indvspak\n#cwg2018 india\n#CWG2018\n\nREAD: htt…","1522990185.0","",""
"0.25","RT @NDTVProfit: Sensex closes 30 points higher, Nifty settles at 10,331; pharma stocks lead gains","1522989952.0","",""
"0.0","RT @moviesndtv: After Blackbuck Verdict, Stars Spotted At Salman Khan's Home: Malaika Arora, Sonakshi Sinha, Sneha Ullal https://t.co/XouNj…","1522989940.0","",""
"-0.16666666666666666","At the centre of our galaxy, there's a Black hole party https://t.co/QkzhdLvjcn https://t.co/niBOuRVL5T","1522989833.0","",""
"0.0","""Sacrifice for the nation, sacrifice for the nation's security and integrity are the part of the BJP's DNA"", says U… https://t.co/uz2EhB178j","1522989141.0","",""
"0.35","RT @moviesndtv: Preity Zinta In Jodhpur Where Salman Khan Is Jailed. 'True Friendship,' Says Twitter https://t.co/0atn5q3NQ2 https://t.co/2…","1522988966.0","",""
"0.0","RT @carandbike: We take a look at how @FordIndia #Freestyle and @MSArenaOfficial #Ignis compare on paper in terms of looks, features, safet…","1522987902.0","",""
"0.0","RT @CricketNDTV: #IPL2018, Team Profile: Star studded @lionsdenkxip hope to forget dismal last season\n\nREAD: https://t.co/yEEGl9jvI4 https:…","1522987709.0","",""
"0.0","RT @Gadgets360: Facebook Acknowledges It Deleted Messages Mark Zuckerberg Sent\nhttps://t.co/mkkvuaZxdq","1522987624.0","",""
"-0.5","RT @Sports_NDTV: Indian weightlifter #SaraswatiRout fails to lift 78kg in all three attempts in snatch, exits women's 58kg competition\n\n#GC…","1522987482.0","",""
"0.5","Top stories now on https://t.co/Fbzw6mR9Q5 \n\n#NDTVTopStories https://t.co/B8Q308Qms1","1522987246.0","",""
